序号,电影名字,电影评分,电影短评,播放状态,免费播放资源,播放链接,电影详细资料
1,肖申克的救赎,9.6,希望让人自由。,可播放,付费,,https://movie.douban.com/subject/1292052/
2,这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Ffvue88y1fsnk4w2.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1295644/
3,霸王别姬,9.5,风华绝代。,可播放,付费,,https://movie.douban.com/subject/1291546/
4,阿甘正传,9.4,一部美国近现代史。,可播放,付费,,https://movie.douban.com/subject/1292720/
5,美丽人生,9.5,最美的谎言。,可播放,付费,,https://movie.douban.com/subject/1292063/
6,千与千寻,9.2,最好的宫崎骏，最好的久石让。 ,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fdxejskxh9kkcry3.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1291561/
7,辛德勒的名单,9.4,拯救一个人，就是拯救整个世界。,可播放,付费,,https://movie.douban.com/subject/1295124/
8,泰坦尼克号,9.2,失去的才是永恒的。 ,可播放,付费,,https://movie.douban.com/subject/1292722/
9,海上钢琴师,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,不可播放,,,https://movie.douban.com/subject/1292001/
10,盗梦空间,9.2,诺兰给了我们一场无法盗取的梦。,可播放,付费,,https://movie.douban.com/subject/3541415/
11,机器人总动员,9.3,小瓦力，大人生。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fcps.youku.com%2Fredirect.html%3Fid%3D0000a213%26url%3Dhttp%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTQxOTY4NDc0NA%3D%3D.html&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/2131459/
12,三傻大闹宝莱坞,9.1,英俊版憨豆，高情商版谢耳朵。,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fdianying%2F20120618%2Ff0faf21d5f12f65e.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=da1242207c,https://movie.douban.com/subject/3793023/
13,放牛班的春天,9.2,天籁一般的童声，是最接近上帝的存在。 ,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fdianying%2F20100418%2Fn3559.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=6371b404ef,https://movie.douban.com/subject/1291549/
14,忠犬八公的故事,9.2,永远都不能忘记你所爱的人。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzA1MTgyNzM2.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/3011091/
15,大话西游之大圣娶亲,9.1,一生所爱。,可播放,付费,,https://movie.douban.com/subject/1292213/
16,龙猫,9.1,人人心中都有个龙猫，童年就永远不会消失。,不可播放,,,https://movie.douban.com/subject/1291560/
17,教父,9.2,千万不要记恨你的对手，这样会让你失去理智。,可播放,付费,,https://movie.douban.com/subject/1291841/
18,乱世佳人,9.2,Tomorrow is another day.,可播放,付费,,https://movie.douban.com/subject/1300267/
19,楚门的世界,9.0,如果再也不能见到你，祝你早安，午安，晚安。,可播放,付费,,https://movie.douban.com/subject/1292064/
20,天堂电影院,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrho6qm0.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=b79dc7df5e,https://movie.douban.com/subject/1291828/
21,当幸福来敲门,8.9,平民励志片。 ,可播放,付费,,https://movie.douban.com/subject/1849031/
22,搏击俱乐部,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,不可播放,,,https://movie.douban.com/subject/1292000/
23,触不可及,9.1,满满温情的高雅喜剧。,不可播放,,,https://movie.douban.com/subject/6786002/
24,指环王3：王者无敌,9.1,史诗的终章。,可播放,付费,,https://movie.douban.com/subject/1291552/
25,十二怒汉,9.3,1957年的理想主义。 ,不可播放,,,https://movie.douban.com/subject/1293182/
26,罗马假日,8.9,爱情哪怕只有一天。,可播放,付费,,https://movie.douban.com/subject/1293839/
27,无间道,8.9,香港电影史上永不过时的杰作。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTY0ODE0MzU2.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1307914/
28,怦然心动,8.9,真正的幸福是来自内心深处。,可播放,付费,,https://movie.douban.com/subject/3319755/
29,天空之城,9.0,对天空的追逐，永不停止。 ,不可播放,,,https://movie.douban.com/subject/1291583/
30,熔炉,9.1,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,不可播放,,,https://movie.douban.com/subject/5912992/
31,两杆大烟枪,9.0,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,可播放,乐视视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.le.com%2Fptv%2Fvplay%2F1505425.html%3Fch%3Ddouban_mf&amp;subtype=6&amp;type=online-video&amp;link2key=b93eaab14a,https://movie.douban.com/subject/1293350/
32,少年派的奇幻漂流,9.0,瑰丽壮观、无人能及的冒险之旅。,可播放,付费,,https://movie.douban.com/subject/1929463/
33,大话西游之月光宝盒,8.9,旷古烁今。,不可播放,,,https://movie.douban.com/subject/1299398/
34,飞屋环游记,8.9,最后那些最无聊的事情，才是最值得怀念的。 ,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fcps.youku.com%2Fredirect.html%3Fid%3D0000a213%26url%3Dhttp%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTQxOTY1NTY5Ng%3D%3D.html&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/2129039/
35,鬼子来了,9.1,对敌人的仁慈，就是对自己残忍。,不可播放,,,https://movie.douban.com/subject/1291858/
36,飞越疯人院,9.0,自由万岁。,不可播放,,,https://movie.douban.com/subject/1292224/
37,蝙蝠侠：黑暗骑士,9.0,无尽的黑暗。,可播放,付费,,https://movie.douban.com/subject/1851857/
38,窃听风暴,9.1,别样人生。,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fih84bi86nzujfs5.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1900841/
39,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDQ5ODgxNDYw.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/3442220/
40,活着,9.0,张艺谋最好的电影。,不可播放,,,https://movie.douban.com/subject/1292365/
41,V字仇杀队,8.8,一张面具背后的理想与革命。,可播放,付费,,https://movie.douban.com/subject/1309046/
42,闻香识女人,8.9,史上最美的探戈。,可播放,付费,,https://movie.douban.com/subject/1298624/
43,星际穿越,9.1,爱是一种力量，让我们超越时空感知它的存在。,可播放,付费,,https://movie.douban.com/subject/1889243/
44,美丽心灵,8.9,爱是一切逻辑和原由。,可播放,付费,,https://movie.douban.com/subject/1306029/
45,教父2,9.1,优雅的孤独。,可播放,付费,,https://movie.douban.com/subject/1299131/
46,指环王2：双塔奇兵,8.9,承前启后的史诗篇章。,可播放,付费,,https://movie.douban.com/subject/1291572/
47,天使爱美丽,8.7,法式小清新。 ,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fo9ltjk5yc26z6w9.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1292215/
48,指环王1：魔戒再现,8.9,传说的开始。,可播放,付费,,https://movie.douban.com/subject/1291571/
49,哈尔的移动城堡,8.8,带着心爱的人在天空飞翔。,可播放,付费,,https://movie.douban.com/subject/1308807/
50,情书,8.8,暗恋的极致。,可播放,付费,,https://movie.douban.com/subject/1292220/
51,死亡诗社,8.9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,可播放,付费,,https://movie.douban.com/subject/1291548/
52,美国往事,9.1,往事如烟，无处祭奠。,不可播放,,,https://movie.douban.com/subject/1292262/
53,七宗罪,8.7,警察抓小偷，老鼠玩死猫。,可播放,付费,,https://movie.douban.com/subject/1292223/
54,钢琴家,9.0,音乐能化解仇恨。,可播放,付费,,https://movie.douban.com/subject/1296736/
55,勇敢的心,8.8,史诗大片的典范。,可播放,付费,,https://movie.douban.com/subject/1294639/
